LABEL,PHY_REGION,LAT,LON
Cowan Ave DLC Sp,W,33.9726498971627,-118.406157294832
Walnut Park DLC Sp,E,33.9670722214952,-118.223772100659
Nevada Ave DLC Sp,N,34.2233196733656,-118.608124383685
Estrella EEC,E,33.9905758692227,-118.273105114146
Evergreen Ave EEC,E,34.0508321298265,-118.196880661558
Fair Ave EEC,N,34.1899410628943,-118.376911038749
Gardena EEC,S,33.8700739039128,-118.298546789152
Glassell Park EEC,W,34.1051568887425,-118.237016648672
Gledhill St EEC,N,34.2415069468993,-118.482581540663
Narbonne STEAM Mag,S,33.8029409910589,-118.305383460846
Stevenson Gifted Mag,E,34.0270851537075,-118.19361925755
Addams High,N,34.2738512061768,-118.488224723158
Angel's Gate High,S,33.7135773439827,-118.29663873545
Boyle Heights High,E,34.037244367274,-118.211981382743
Burke High,N,34.2174191444532,-118.45280799751
135th St DLC Sp,S,33.9096724178452,-118.289497632408
Alexandria Ave DTS,E,34.0783668820902,-118.298812568312
Parmelee Ave DL Sp,S,33.9700583826955,-118.250991482602
California Creative Lrng Acad,E,34.1187929484872,-118.23102649676
Banning PA Mag,S,33.7936065395161,-118.262015701876
Cheviot Hills High,W,34.0355866838126,-118.392536111219
Earhart High,N,34.1681364235982,-118.388044260512
Ellington High,S,33.9357117699693,-118.303378139221
Evergreen High,N,34.3097648604816,-118.440054072973
Hope High,S,33.9675614823548,-118.267133942753
Independence High,N,34.1895792250557,-118.501700625288
Isaacs Avalon High,S,33.7920226681611,-118.263591226037
Kahlo High,E,34.0298161797105,-118.263858712788
Glenfeliz Blvd EEC,W,34.122924812788,-118.266286047208
Lemay St EEC,N,34.1923023609891,-118.516236397719
Arminta St EEC,N,34.214160106077,-118.382290166334
Bradley EEC,S,33.9367303284566,-118.254572277282
Cabrillo Ave EEC,S,33.7367164030618,-118.293132781356
State St EEC,E,33.9650827014426,-118.211739511511
Lewis High,N,34.2262245572023,-118.403933460973
London High,N,34.1764338332592,-118.414731815964
Mission High,N,34.2701823698805,-118.439924475975
Moneta High,S,33.8671808924201,-118.294722424798
Mt Lukens High,N,34.2597390301605,-118.300409663746
Newmark High,E,34.0613351026175,-118.262757902791
Braddock Dr DL Ma,W,33.9927165657044,-118.415905702453
RFK UCLA Comm Sch DLC,W,34.0580274281338,-118.296998266215
MacArthur Pk DL Sp,E,34.0572051701342,-118.279692628957
Kim DLC Sp,W,34.0702247652619,-118.308157190929
Vaughn EEC,N,34.2791997306945,-118.422870869405
Wadsworth Ave EEC,E,34.0094664230807,-118.25735293381
Odyssey High,E,33.9552907691426,-118.211203763669
Owensmouth High,N,34.196590327831,-118.603081651846
Patton High,S,33.8019921101432,-118.307266556788
Carlson Home,N,34.1477552134621,-118.36882511446
Yth Opp Unltd Alt High,S,33.9602049327127,-118.289760579405
Hazeltine Ave DLC Sp,N,34.2006177630728,-118.439227896474
Castle Heights DLC Sp,W,34.0384865596764,-118.398353636528
Sunrise DLC Sp,E,34.0298098967939,-118.209882430052
61st St DLC Sp,S,33.984392691758,-118.28180964445
Catskill Ave DLC Sp,S,33.8119332268713,-118.270382631693
116th St DLC Sp,S,33.9287410076785,-118.261159640802
Graham DLC Sp,S,33.9609960481612,-118.238158834776
